Month,country,role,event_batch,goldstein_mean,goldstein_median,event_count,goldstein_weighted
2015-02-01,DEU,actor1,direct_economic_action,6.4,6.4,2,12.8
2015-02-01,DEU,actor1,economic_policy_signal,0.0,0.0,2,0.0
2015-02-01,ESP,actor1,direct_economic_action,7.4,7.4,1,7.4
2015-02-01,FIN,actor1,direct_economic_action,7.4,7.4,1,7.4
2015-02-01,FRA,actor1,direct_economic_action,-8.0,-8.0,2,-16.0
2015-02-01,FRA,actor1,economic_policy_signal,0.0,0.0,5,0.0
2015-02-01,FRA,actor2,direct_economic_action,6.4,6.4,2,12.8
2015-02-01,IRL,actor2,direct_economic_action,7.4,7.4,1,7.4
2015-02-01,ITA,actor1,direct_economic_action,7.257142857142858,7.4,7,50.800000000000004
2015-02-01,ITA,actor1,economic_policy_action,5.0,5.0,1,5.0
2015-02-01,ITA,actor2,direct_economic_action,7.2,7.4,5,36.0
2015-02-01,NLD,actor1,economic_policy_action,5.0,5.0,6,30.0
2015-02-01,NLD,actor1,economic_policy_signal,5.2,5.2,1,5.2
2015-03-01,AUT,actor1,direct_economic_action,6.6,6.4,5,33.0
2015-03-01,AUT,actor2,direct_economic_action,6.4,6.4,2,12.8
2015-03-01,BEL,actor1,direct_economic_action,7.4,7.4,1,7.4
2015-03-01,BEL,actor1,economic_policy_signal,0.0,0.0,1,0.0
2015-03-01,BEL,actor2,direct_economic_action,6.4,6.4,2,12.8
2015-03-01,DEU,actor1,direct_economic_action,7.4,7.4,5,37.0
2015-03-01,DEU,actor1,economic_policy_signal,0.0,0.0,7,0.0
2015-03-01,DEU,actor2,direct_economic_action,6.566666666666667,6.4,6,39.400000000000006
2015-03-01,DEU,actor2,economic_policy_signal,0.0,0.0,5,0.0
2015-03-01,ESP,actor1,direct_economic_action,7.4,7.4,2,14.8
2015-03-01,ESP,actor2,economic_policy_signal,2.04,3.4,5,10.2
2015-03-01,FIN,actor1,direct_economic_action,6.4,6.4,1,6.4
2015-03-01,FRA,actor1,direct_economic_action,7.15,7.4,4,28.6
2015-03-01,FRA,actor1,economic_policy_action,5.0,5.0,1,5.0
2015-03-01,FRA,actor1,economic_policy_signal,2.3846153846153846,3.4,13,31.0
