Month,country,role,monthly_goldstein,monthly_event_count
2015-02-01,DEU,actor1,3.2,4
2015-02-01,ESP,actor1,7.4,1
2015-02-01,FIN,actor1,7.4,1
2015-02-01,FRA,actor1,-2.2857142857142856,7
2015-02-01,FRA,actor2,6.4,2
2015-02-01,IRL,actor2,7.4,1
2015-02-01,ITA,actor1,6.9750000000000005,8
2015-02-01,ITA,actor2,7.2,5
2015-02-01,NLD,actor1,5.028571428571429,7
2015-03-01,AUT,actor1,6.6,5
2015-03-01,AUT,actor2,6.4,2
2015-03-01,BEL,actor1,3.7,2
2015-03-01,BEL,actor2,6.4,2
2015-03-01,DEU,actor1,3.0833333333333335,12
2015-03-01,DEU,actor2,3.5818181818181825,11
2015-03-01,ESP,actor1,7.4,2
2015-03-01,ESP,actor2,2.04,5
2015-03-01,FIN,actor1,6.4,1
2015-03-01,FRA,actor1,3.5888888888888886,18
2015-03-01,FRA,actor2,2.1999999999999997,12
2015-03-01,IRL,actor1,7.1000000000000005,8
2015-03-01,IRL,actor2,0.0,1
2015-03-01,ITA,actor1,2.3833333333333333,24
2015-03-01,ITA,actor2,4.9,10
2015-03-01,LUX,actor2,3.466666666666667,3
2015-03-01,NLD,actor1,3.3333333333333335,6
2015-03-01,NLD,actor2,2.1333333333333333,3
2015-03-01,PRT,actor1,0.0,2
2015-03-01,PRT,actor2,7.4,1
2015-04-01,DEU,actor1,4.036363636363636,11
2015-04-01,DEU,actor2,4.775,8
2015-04-01,ESP,actor2,6.400000000000001,6
2015-04-01,FIN,actor1,6.4,2
2015-04-01,FIN,actor2,6.4,1
2015-04-01,FRA,actor1,6.733333333333334,3
2015-04-01,FRA,actor2,6.636363636363637,11
2015-04-01,IRL,actor1,4.949999999999999,4
2015-04-01,IRL,actor2,5.466666666666666,3
2015-04-01,ITA,actor1,2.2800000000000002,5
2015-04-01,ITA,actor2,-5.12,5
2015-04-01,LUX,actor1,7.4,2
2015-04-01,LUX,actor2,7.4,2
2015-04-01,NLD,actor1,7.4,5
2015-04-01,NLD,actor2,6.876923076923077,13
2015-04-01,PRT,actor1,7.4,2
2015-05-01,DEU,actor1,2.6666666666666665,9
2015-05-01,DEU,actor2,6.028571428571429,14
2015-05-01,ESP,actor2,3.2,4
2015-05-01,FIN,actor1,5.0,1
2015-05-01,FRA,actor1,6.000000000000001,11
2015-05-01,FRA,actor2,5.2,3
2015-05-01,IRL,actor1,3.8666666666666663,9
2015-05-01,IRL,actor2,4.133333333333334,3
2015-05-01,ITA,actor1,3.7000000000000006,6
2015-05-01,ITA,actor2,5.333333333333333,6
2015-05-01,LUX,actor1,0.0,10
2015-05-01,NLD,actor2,7.4,1
2015-06-01,AUT,actor2,0.0,1
2015-06-01,BEL,actor1,5.040000000000001,5
2015-06-01,DEU,actor1,5.368421052631579,19
2015-06-01,DEU,actor2,5.800000000000001,8
2015-06-01,ESP,actor1,-8.0,1
2015-06-01,FRA,actor1,3.8444444444444446,9
2015-06-01,FRA,actor2,6.24,10
2015-06-01,IRL,actor1,4.540000000000001,10
2015-06-01,IRL,actor2,7.4,2
2015-06-01,ITA,actor1,-2.4333333333333336,12
2015-06-01,ITA,actor2,5.3999999999999995,6
2015-06-01,NLD,actor1,6.4,2
2015-06-01,NLD,actor2,3.2,4
2015-06-01,PRT,actor1,7.4,2
2015-07-01,AUT,actor1,3.2,2
2015-07-01,DEU,actor1,5.345454545454546,11
2015-07-01,DEU,actor2,4.155555555555555,9
2015-07-01,ESP,actor1,6.733333333333334,3
2015-07-01,ESP,actor2,6.285714285714286,7
2015-07-01,FIN,actor1,6.2,4
2015-07-01,FRA,actor1,5.1,10
2015-07-01,FRA,actor2,5.200000000000001,13
2015-07-01,IRL,actor1,3.7,4
2015-07-01,IRL,actor2,5.0,4
2015-07-01,ITA,actor2,4.857142857142857,7
2015-07-01,LUX,actor1,3.4,1
